ep,mgr_lr,loss,plan_score_mean,quality_ema,plan_len_mean,plan_len_ref_mean,plan_under_rate,plan_over_rate,anchor_hop_err_mean,anchor_near_rate,spacing_error_mean,monotonic_violation_rate,first_subgoal_hops_mean,segment_budget_error_mean,first_segment_budget_err_mean,first_segment_overshoot_mean,frontloaded_overshoot_rate,hard_anchor_near_rate,hard_under_rate,hard_first_segment_overshoot,hard_segment_budget_error,corridor_ratio_mean,mgr_grad_norm_preclip,mgr_grad_norm_postclip,manager_clip_hit_rate,mgr_entropy,mgr_nll,aux_ce_loss,warmstart_active,policy_weight,aux_weight
0,0.0001,13.879380226135254,-12.826510429382324,0.003125,1.34375,2.0,0.6875,0.0,3.71875,0.03125,0.5240885019302368,0.0,7.125,2.9791667461395264,3.25,2.3125,0.7760416865348816,0.0,0.0,0.0,0.0,0.9427083730697632,72.84548950195312,20.000000457107344,1.0,0.5413378477096558,3.665332317352295,13.889108657836914,1.0,0.0,1.0
200,0.0001,4.493634223937988,-4.564374923706055,0.3347011590856791,1.8125,2.0,0.1875,0.0,2.28125,0.25,0.27291667461395264,0.046875,3.6875,1.25,1.46875,0.625,0.421875,0.0,0.0,0.0,0.0,0.953125,5.061412334442139,5.061412387778002,0.0,3.518705129623413,3.9673900604248047,4.564003944396973,1.0,0.0,1.0
400,0.0001,3.6521310806274414,-3.994657516479492,0.304659079638436,1.96875,2.0,0.0625,0.0,2.5,0.234375,0.1897321492433548,0.109375,4.03125,1.2421875,1.28125,0.390625,0.2291666716337204,0.0,0.0,0.0,0.0,0.9114583730697632,8.999761581420898,8.999761561119449,0.0,2.613436460494995,3.05502986907959,3.7042837142944336,1.0,0.0,1.0
600,0.0001,3.0857603549957275,-5.190937519073486,0.34198134084854664,2.0625,2.0,0.09375,0.03125,2.609375,0.234375,0.208984375,0.09375,4.625,1.5718750953674316,1.6875,0.625,0.26249998807907104,0.0,0.0,0.0,0.0,0.9468749761581421,10.782132148742676,10.782132581315738,0.0,1.5152109861373901,1.8679664134979248,3.115713596343994,1.0,0.0,1.0
800,0.0001,2.9541003704071045,-2.838124990463257,0.3738305029657095,1.03125,1.0,0.0,0.0,2.78125,0.15625,0.21875,0.0625,3.9375,0.890625,0.875,0.03125,0.03125,0.0,0.0,0.0,0.0,0.9375,20.8594970703125,19.999997906249817,1.0,2.5764923095703125,2.1607093811035156,3.003469467163086,1.0,0.0,1.0
1000,0.0001,2.5858407020568848,-2.929374933242798,0.35689638513895416,1.15625,1.0,0.0,0.0,1.78125,0.46875,0.1875,0.03125,3.34375,1.328125,1.40625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.875,15.616146087646484,15.616146028991833,0.0,2.391080379486084,2.0656280517578125,2.633122444152832,1.0,0.0,1.0
1200,0.0001,2.6268858909606934,-3.3505473136901855,0.31884357339202546,2.28125,2.0,0.0,0.0625,2.375,0.34375,0.1649305522441864,0.078125,4.8125,1.1497395038604736,1.03125,0.3125,0.14166668057441711,0.0,0.0,0.0,0.0,0.8791667222976685,15.636319160461426,15.63631923011666,0.0,1.6567071676254272,2.0425221920013428,2.659581422805786,1.0,0.0,1.0
1400,0.0001,3.780033826828003,-4.003795623779297,0.3199832024114921,4.1875,4.0,0.15625,0.1875,2.8385417461395264,0.125,0.14222469925880432,0.078125,3.0,1.7982019186019897,1.03125,0.0625,0.3425595164299011,0.125,0.15625,0.0625,1.7982019186019897,0.9666666984558105,17.151819229125977,17.151818475590424,0.0,1.7597321271896362,2.9901771545410156,3.8121297359466553,1.0,0.0,1.0
1600,0.0001,4.619273662567139,-4.004505157470703,0.269155444979448,3.9375,3.0,0.0,0.1875,3.0208334922790527,0.15625,0.1180555671453476,0.09375,3.09375,1.557031273841858,1.53125,0.15625,0.14375001192092896,0.0,0.0,0.0,0.0,0.9104166626930237,36.523590087890625,20.000001365545568,1.0,2.7456917762756348,2.9929544925689697,4.665075778961182,1.0,0.0,1.0
1800,0.0001,3.0809504985809326,-3.621041774749756,0.28657676488046435,3.25,3.0,0.0,0.03125,2.6458334922790527,0.2291666716337204,0.1015625,0.02083333395421505,4.125,1.431249976158142,1.125,0.28125,0.24322918057441711,0.0,0.0,0.0,0.0,0.8869792222976685,8.243408203125,8.243408324269279,0.0,2.129040002822876,2.637847900390625,3.121316432952881,1.0,0.0,1.0
2000,0.0001,1.5979121923446655,-2.8248438835144043,0.3585350319814809,2.6875,2.0,0.03125,0.125,2.046875,0.34375,0.1634114533662796,0.03125,3.28125,1.234375,1.40625,0.125,0.0651041716337204,0.0,0.0,0.0,0.0,0.9791666865348816,17.142751693725586,17.142751961321274,0.0,1.8038475513458252,2.5330872535705566,2.5927562713623047,0.0,0.3,0.7
