episode,success_rate,success_ema,goal_dist_mean,goal_hop_mean,best_goal_dist_mean,best_goal_hops_mean,progress_mean,goal_progress_per100,stagnation_fail_rate,loop_fail_rate,timeout_fail_rate,path_length_ratio,teacher_path_hops_mean,teacher_hidden_checkpoint_count_actual,worker_aux_ce_loss,worker_entropy,critic_explained_variance,hidden_checkpoint_count_mean,hidden_checkpoint_hit_rate,ordered_checkpoint_completion_ratio,hidden_checkpoint_hit_at_rank_1,hidden_checkpoint_hit_at_rank_2,hidden_checkpoint_hit_at_rank_3plus,goal_neighbor_rate,goal_neighbor_success_rate,goal_hop_1_hit_rate,goal_hop_1_to_success_rate,goal_regression_after_best4_rate,near_goal_ce_mult_applied_rate,goal_threshold_hit_8_rate,goal_threshold_hit_4_rate,goal_threshold_hit_2_rate,stagnation_reset_on_best_goal_improve_count,stagnation_reset_near_goal_count,stagnation_reset_goal4_count,stagnation_reset_goal2_count,reward_mean,loss,wkr_lr,worker_grad_pre,worker_grad_post,worker_grad_clip_hit,hidden_bonus_weight,aux_weight
0,43.75,2.1875,12575.15625,6.46875,4953.4375,2.84375,1.9939504563808441,0.9808754920959473,56.25,0.0,0.0,4.2265625,8.0,1.0,5.454510688781738,0.6522745490074158,0.013003766536712646,1.0,34.375,34.375,34.375,0.0,0.0,46.875,87.5,46.875,93.33334350585938,50.0,5.730129241943359,100.0,68.75,59.375,5.5,1.28125,0.6875,0.59375,-59.51469802856445,1.2864203453063965,9.999999777933903e-05,0.5169124155915885,0.5169124155915885,0.0,2.0,0.2
200,46.875,51.051329005692494,10896.8125,4.40625,4138.21875,1.59375,39.30028676986694,1.3260403871536255,53.125,0.0,0.0,5.6171875,8.0,1.0,3.963414192199707,0.5854161977767944,0.052357017993927,1.0,53.125,53.125,53.125,0.0,0.0,59.375,62.5,59.375,78.94737243652344,84.375,5.910987377166748,100.0,84.375,75.0,6.9375,1.59375,0.84375,0.75,-113.08753967285156,1.0021122694015503,9.991031288295083e-05,0.3638573568537255,0.3638573568537255,0.0,2.0,0.2
400,43.75,54.923789400508,11992.875,5.875,3243.9375,1.59375,-2.7755171060562134,3.1763014793395996,56.25,0.0,0.0,5.868750095367432,5.0,1.0,3.6857330799102783,0.5512476563453674,0.08689981698989868,1.0,81.25,81.25,81.25,0.0,0.0,56.25,51.85185241699219,56.25,77.77777862548828,78.125,8.945687294006348,100.0,93.75,68.75,4.90625,1.625,0.9375,0.6875,-101.38851165771484,0.7932828664779663,9.964338749918403e-05,0.9751917785406508,0.9751917785406508,0.0,1.5,0.17
600,40.625,64.31354332629124,14744.625,5.34375,7043.875,2.15625,20.213067531585693,1.1837912797927856,56.25,3.125,0.0,6.2276787757873535,7.0,1.0,3.757200002670288,0.6321689486503601,0.06115269660949707,1.0,65.625,65.625,65.625,0.0,0.0,40.625,100.0,40.625,100.0,71.875,3.799283027648926,100.0,81.25,56.25,6.15625,1.375,0.8125,0.5625,-148.55673217773438,0.8394595384597778,9.920027506058168e-05,1.3554327924056595,1.3554327924056595,0.0,1.5,0.17
800,43.75,66.72700846502421,10439.8125,4.6875,4115.09375,1.6875,50.569069385528564,2.9164490699768066,56.25,0.0,0.0,2.4625000953674316,15.0,2.0,3.455677032470703,0.6236201524734497,0.1518649458885193,2.0,21.875,12.5,21.875,3.125,0.0,50.0,82.35294342041016,50.0,87.5,71.875,5.66835880279541,100.0,90.625,68.75,6.375,1.59375,0.90625,0.6875,-266.5667419433594,0.5852482914924622,9.858272432950005e-05,1.3692357630150866,1.3692357630150866,0.0,0.75,0.12
1000,75.0,66.23104428784683,3724.3125,1.90625,1019.6875,0.625,70.60990929603577,3.8337972164154053,25.0,0.0,0.0,3.4583334922790527,9.0,1.0,3.544603109359741,0.5752466320991516,0.07015758752822876,1.0,71.875,71.875,71.875,0.0,0.0,78.125,82.75862121582031,78.125,96.0,81.25,11.044177055358887,100.0,96.875,93.75,7.78125,1.90625,0.96875,0.9375,-34.63972473144531,0.5908299088478088,9.779317249654267e-05,0.5211697834486778,0.5211697834486778,0.0,0.75,0.12
1200,65.625,67.67979305235141,6337.75,2.28125,2503.0625,0.875,58.46821665763855,3.277017593383789,34.375,0.0,0.0,2.875,12.0,2.0,3.3967180252075195,0.6219545006752014,0.0839948058128357,2.0,53.125,40.625,53.125,28.125,0.0,81.25,63.6363639831543,81.25,80.76923370361328,75.0,10.59782600402832,100.0,93.75,84.375,7.3125,1.78125,0.9375,0.84375,-70.01863098144531,0.6287935376167297,9.68347355620822e-05,0.8770242509306027,0.8770242509306027,0.0,0.75,0.12
1400,78.125,68.27117602957026,4720.625,1.5625,866.25,0.4375,64.23768997192383,7.366066932678223,18.75,3.125,0.0,2.799107313156128,7.0,1.0,2.9866976737976074,0.5320733189582825,0.13858896493911743,1.0,34.375,34.375,34.375,0.0,0.0,90.625,67.56756591796875,90.625,86.20689392089844,43.75,18.341306686401367,100.0,96.875,96.875,6.25,1.9375,0.96875,0.96875,-81.49797058105469,0.5401030778884888,9.5711196038831e-05,1.2841485587466255,1.2841485587466255,0.0,0.75,0.12
1600,90.625,76.91545948176976,2239.09375,1.0,664.9375,0.28125,83.499675989151,6.895375728607178,9.375,0.0,0.0,2.097222089767456,9.0,1.0,3.1039786338806152,0.5696978569030762,0.25870388746261597,1.0,12.5,12.5,12.5,0.0,0.0,93.75,78.37837982177734,93.75,96.66667175292969,53.125,19.205297470092773,100.0,96.875,93.75,6.75,1.90625,0.96875,0.9375,-72.26943969726562,0.41641557216644287,9.442698802399074e-05,1.0532279633527528,1.0532279633527528,0.0,0.75,0.12
1800,71.875,68.75120797272614,6105.21875,2.6875,1630.28125,0.90625,71.02136611938477,3.2045087814331055,28.125,0.0,0.0,3.5531249046325684,10.0,2.0,3.1970818042755127,0.5552032589912415,0.13865697383880615,2.0,46.875,40.625,46.875,34.375,0.0,84.375,71.875,84.375,85.18518829345703,84.375,9.498680114746094,96.875,93.75,87.5,10.78125,1.8125,0.9375,0.875,-95.48523712158203,0.5673238039016724,9.298717969989722e-05,0.7576229208890689,0.7576229208890689,0.0,0.75,0.12
2000,96.875,76.43433848455233,884.40625,0.25,660.0,0.15625,96.09550833702087,8.55003547668457,3.125,0.0,0.0,2.5208332538604736,6.0,1.0,2.678065061569214,0.6663432121276855,0.10876965522766113,1.0,81.25,81.25,81.25,0.0,0.0,96.875,88.57142639160156,96.875,100.0,46.875,22.107439041137695,100.0,96.875,96.875,7.0625,1.9375,0.96875,0.96875,16.333755493164062,0.34208211302757263,9.139745333221998e-05,1.3644518863664823,1.3644518863664823,0.0,0.75,0.12
2200,75.0,71.56697928795116,4839.875,1.75,2118.59375,0.6875,75.09198784828186,3.8969287872314453,25.0,0.0,0.0,6.7890625,4.0,1.0,3.251779556274414,0.508022665977478,0.09555971622467041,1.0,87.5,87.5,87.5,0.0,0.0,78.125,82.75862121582031,78.125,96.0,100.0,11.392404556274414,100.0,100.0,84.375,8.3125,0.84375,0.0,0.84375,-36.211421966552734,0.5759057402610779,8.966408284465496e-05,0.9775517974611141,0.9775517974611141,0.0,0.75,0.12
2400,93.75,76.28240927932256,932.25,0.5,453.75,0.1875,97.12445735931396,4.41205358505249,6.25,0.0,0.0,2.9756946563720703,9.0,1.0,3.0448174476623535,0.5188820958137512,0.14575409889221191,1.0,50.0,50.0,50.0,0.0,0.0,93.75,90.90909576416016,93.75,100.0,53.125,12.485413551330566,100.0,100.0,96.875,13.21875,1.96875,1.0,0.96875,-33.20507049560547,0.42658302187919617,8.779390905861517e-05,1.2851040915781367,1.2851040915781367,0.0,0.75,0.12
2600,90.625,77.23742748585968,1572.5,0.65625,259.0625,0.15625,93.74328851699829,4.955349922180176,9.375,0.0,0.0,2.2869319915771484,11.0,2.0,2.9424238204956055,0.602129340171814,0.12653958797454834,2.0,87.5,79.6875,87.5,71.875,0.0,96.875,80.55555725097656,96.875,93.54837799072266,56.25,14.534161567687988,100.0,100.0,96.875,10.9375,1.96875,1.0,0.96875,-12.062037467956543,0.4449912905693054,8.579431269563308e-05,0.8279697400963907,0.8279697400963907,0.0,0.75,0.12
